Datetime,Open,High,Low,Close,Volume,Adj Close,Prediction,Portfolio Value,Cumulative Returns,Drawdown
2024-07-13 03:35:00+00:00,69.43,69.43,69.38,69.39,14603,55,0,10000.0,,0.0
2024-07-13 03:36:00+00:00,69.4,69.42,69.39,69.4,2859,24,0,10000.0,0.0,0.0
2024-07-13 03:37:00+00:00,69.41,69.42,69.39,69.42,2796,36,0,10000.0,0.0,0.0
2024-07-13 03:38:00+00:00,69.42,69.43,69.39,69.39,3839,36,0,10000.0,0.0,0.0
2024-07-13 03:39:00+00:00,69.39,69.39,69.36,69.38,3489,38,0,10000.0,0.0,0.0
2024-07-13 03:40:00+00:00,69.39,69.4,69.36,69.36,9586,43,0,10000.0,0.0,0.0
2024-07-13 03:41:00+00:00,69.37,69.44,69.36,69.4,36717,123,0,10000.0,0.0,0.0
2024-07-13 03:42:00+00:00,69.4,69.44,69.4,69.43,1868,30,0,10000.0,0.0,0.0
2024-07-13 03:43:00+00:00,69.42,69.43,69.42,69.43,2279,22,0,10000.0,0.0,0.0
2024-07-13 03:44:00+00:00,69.43,69.48,69.43,69.47,8756,61,0,10000.0,0.0,0.0
2024-07-13 03:45:00+00:00,69.45,69.46,69.43,69.44,1815,22,0,10000.0,0.0,0.0
2024-07-13 03:46:00+00:00,69.43,69.46,69.43,69.45,1971,40,0,10000.0,0.0,0.0
2024-07-13 03:47:00+00:00,69.45,69.48,69.45,69.48,1770,24,0,10000.0,0.0,0.0
2024-07-13 03:48:00+00:00,69.47,69.48,69.47,69.48,1221,14,0,10000.0,0.0,0.0
2024-07-13 03:49:00+00:00,69.47,69.47,69.44,69.44,2247,18,0,10000.0,0.0,0.0
2024-07-13 03:50:00+00:00,69.44,69.44,69.4,69.41,826,23,0,10000.0,0.0,0.0
2024-07-13 03:51:00+00:00,69.42,69.42,69.36,69.37,32839,65,0,10000.0,0.0,0.0
2024-07-13 03:52:00+00:00,69.38,69.38,69.35,69.36,1479,18,0,10000.0,0.0,0.0
2024-07-13 03:53:00+00:00,69.36,69.36,69.34,69.35,1702,20,0,10000.0,0.0,0.0
2024-07-13 03:54:00+00:00,69.35,69.36,69.33,69.34,2834,29,0,10000.0,0.0,0.0
2024-07-13 03:55:00+00:00,69.34,69.37,69.3,69.3,29147,152,0,10000.0,0.0,0.0
2024-07-13 03:56:00+00:00,69.31,69.31,69.3,69.3,5199,33,0,10000.0,0.0,0.0
2024-07-13 03:57:00+00:00,69.3,69.3,69.27,69.28,8900,43,0,10000.0,0.0,0.0
2024-07-13 03:58:00+00:00,69.29,69.31,69.28,69.29,3432,34,0,10000.0,0.0,0.0
2024-07-13 03:59:00+00:00,69.29,69.32,69.28,69.31,17753,37,5,9981.24368777954,-0.001875631222045926,-0.0018756312220459222
2024-07-13 04:00:00+00:00,69.31,69.31,69.22,69.23,10407,61,0,9981.24368777954,-0.001875631222045926,-0.0018756312220459222
2024-07-13 04:01:00+00:00,69.22,69.22,69.17,69.18,15601,68,5,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:02:00+00:00,69.17,69.2,69.17,69.18,6042,30,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:03:00+00:00,69.18,69.24,69.18,69.24,15365,63,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:04:00+00:00,69.23,69.23,69.23,69.23,1567,11,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:05:00+00:00,69.23,69.23,69.17,69.18,16164,39,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:06:00+00:00,69.18,69.21,69.18,69.21,3176,22,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:07:00+00:00,69.21,69.21,69.19,69.2,3836,21,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:08:00+00:00,69.19,69.19,69.16,69.16,3155,27,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:09:00+00:00,69.17,69.17,69.15,69.15,7716,34,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:10:00+00:00,69.15,69.16,69.14,69.16,1162,20,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:11:00+00:00,69.16,69.18,69.14,69.14,1949,32,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:12:00+00:00,69.15,69.19,69.14,69.16,18255,60,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:13:00+00:00,69.17,69.17,69.15,69.16,1577,14,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:14:00+00:00,69.16,69.19,69.15,69.15,2947,22,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:15:00+00:00,69.15,69.3,69.13,69.29,365814,464,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:16:00+00:00,69.29,69.34,69.29,69.34,7392,31,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:17:00+00:00,69.35,69.35,69.31,69.32,16561,41,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:18:00+00:00,69.33,69.35,69.32,69.34,8297,25,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:19:00+00:00,69.35,69.35,69.3,69.3,9441,31,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
2024-07-13 04:20:00+00:00,69.3,69.31,69.29,69.3,3577,33,0,9984.129274274996,-0.0015870725725004586,-0.0015870725725004376
