Datetime,Open,High,Low,Close,Volume,Adj Close,Prediction,Portfolio Value,Cumulative Returns,Drawdown
2024-07-12 23:54:00+00:00,25.93,25.97,25.93,25.97,20193,99,0,10000.0,,0.0
2024-07-12 23:55:00+00:00,25.98,25.98,25.98,25.98,17044,57,0,10000.0,0.0,0.0
2024-07-12 23:56:00+00:00,25.98,25.98,25.96,25.96,87111,200,0,10000.0,0.0,0.0
2024-07-12 23:57:00+00:00,25.96,25.96,25.96,25.96,6289,9,0,10000.0,0.0,0.0
2024-07-12 23:58:00+00:00,25.97,25.97,25.96,25.96,4085,12,0,10000.0,0.0,0.0
2024-07-12 23:59:00+00:00,25.96,25.96,25.95,25.96,21734,27,0,10000.0,0.0,0.0
2024-07-13 00:00:00+00:00,25.97,26.0,25.95,25.95,224833,310,0,10000.0,0.0,0.0
2024-07-13 00:01:00+00:00,25.94,25.94,25.93,25.93,24895,50,0,10000.0,0.0,0.0
2024-07-13 00:02:00+00:00,25.94,25.95,25.93,25.93,33933,78,0,10000.0,0.0,0.0
2024-07-13 00:03:00+00:00,25.93,25.95,25.93,25.95,8499,24,0,10000.0,0.0,0.0
2024-07-13 00:04:00+00:00,25.95,25.95,25.93,25.93,8028,14,0,10000.0,0.0,0.0
2024-07-13 00:05:00+00:00,25.94,25.95,25.93,25.94,18408,45,0,10000.0,0.0,0.0
2024-07-13 00:06:00+00:00,25.94,25.94,25.93,25.93,9377,27,0,10000.0,0.0,0.0
2024-07-13 00:07:00+00:00,25.93,25.94,25.92,25.92,8261,19,0,10000.0,0.0,0.0
2024-07-13 00:08:00+00:00,25.94,25.97,25.94,25.97,8151,38,0,10000.0,0.0,0.0
2024-07-13 00:09:00+00:00,25.98,25.99,25.97,25.98,6764,22,0,10000.0,0.0,0.0
2024-07-13 00:10:00+00:00,25.98,25.99,25.97,25.97,10093,29,0,10000.0,0.0,0.0
2024-07-13 00:11:00+00:00,25.97,25.97,25.95,25.97,18140,35,0,10000.0,0.0,0.0
2024-07-13 00:12:00+00:00,25.97,25.97,25.95,25.96,6856,15,0,10000.0,0.0,0.0
2024-07-13 00:13:00+00:00,25.97,25.98,25.95,25.95,15555,54,0,10000.0,0.0,0.0
2024-07-13 00:14:00+00:00,25.95,25.96,25.94,25.94,6960,24,0,10000.0,0.0,0.0
2024-07-13 00:15:00+00:00,25.94,25.94,25.92,25.92,13915,33,0,10000.0,0.0,0.0
2024-07-13 00:16:00+00:00,25.92,25.94,25.92,25.93,15515,39,0,10000.0,0.0,0.0
2024-07-13 00:17:00+00:00,25.93,25.94,25.92,25.93,56590,42,0,10000.0,0.0,0.0
2024-07-13 00:18:00+00:00,25.93,25.93,25.92,25.93,16370,19,0,10000.0,0.0,0.0
2024-07-13 00:19:00+00:00,25.93,25.93,25.92,25.92,14581,32,0,10000.0,0.0,0.0
2024-07-13 00:20:00+00:00,25.93,25.93,25.92,25.93,7620,27,0,10000.0,0.0,0.0
2024-07-13 00:21:00+00:00,25.93,25.94,25.92,25.93,10737,24,0,10000.0,0.0,0.0
2024-07-13 00:22:00+00:00,25.92,25.92,25.9,25.91,29952,47,0,10000.0,0.0,0.0
2024-07-13 00:23:00+00:00,25.91,25.94,25.89,25.93,61078,70,0,10000.0,0.0,0.0
2024-07-13 00:24:00+00:00,25.94,25.94,25.91,25.92,3166,19,0,10000.0,0.0,0.0
2024-07-13 00:25:00+00:00,25.91,25.91,25.89,25.91,12889,40,0,10000.0,0.0,0.0
2024-07-13 00:26:00+00:00,25.9,25.91,25.89,25.89,11385,32,0,10000.0,0.0,0.0
2024-07-13 00:27:00+00:00,25.89,25.89,25.87,25.87,4770,27,0,10000.0,0.0,0.0
2024-07-13 00:28:00+00:00,25.88,25.89,25.87,25.87,3756,19,0,10000.0,0.0,0.0
2024-07-13 00:29:00+00:00,25.87,25.89,25.87,25.89,6479,26,0,10000.0,0.0,0.0
2024-07-13 00:30:00+00:00,25.89,25.89,25.87,25.87,14199,36,0,10000.0,0.0,0.0
2024-07-13 00:31:00+00:00,25.88,25.88,25.87,25.88,1615,12,0,10000.0,0.0,0.0
2024-07-13 00:32:00+00:00,25.87,25.87,25.82,25.83,41652,99,0,10000.0,0.0,0.0
2024-07-13 00:33:00+00:00,25.83,25.84,25.82,25.83,16830,35,0,10000.0,0.0,0.0
2024-07-13 00:34:00+00:00,25.83,25.84,25.83,25.84,10356,24,0,10000.0,0.0,0.0
2024-07-13 00:35:00+00:00,25.84,25.89,25.83,25.88,16864,61,0,10000.0,0.0,0.0
2024-07-13 00:36:00+00:00,25.87,25.91,25.87,25.89,25065,44,0,10000.0,0.0,0.0
2024-07-13 00:37:00+00:00,25.89,25.89,25.84,25.85,40758,72,0,10000.0,0.0,0.0
2024-07-13 00:38:00+00:00,25.85,25.88,25.85,25.87,5398,23,0,10000.0,0.0,0.0
2024-07-13 00:39:00+00:00,25.87,25.9,25.87,25.88,12827,40,0,10000.0,0.0,0.0
2024-07-13 00:40:00+00:00,25.88,25.89,25.87,25.88,12189,32,0,10000.0,0.0,0.0
2024-07-13 00:41:00+00:00,25.88,25.89,25.88,25.89,7003,20,0,10000.0,0.0,0.0
2024-07-13 00:42:00+00:00,25.89,25.9,25.88,25.9,11030,29,0,10000.0,0.0,0.0
2024-07-13 00:43:00+00:00,25.9,25.9,25.89,25.89,6311,15,2,10007.72499034376,0.0007724990343760396,0.0
2024-07-13 00:44:00+00:00,25.89,25.91,25.88,25.9,14427,41,0,10007.72499034376,0.0007724990343760396,0.0
2024-07-13 00:45:00+00:00,25.9,25.9,25.88,25.88,9793,36,0,10007.72499034376,0.0007724990343760396,0.0
2024-07-13 00:46:00+00:00,25.88,25.9,25.87,25.89,9725,43,0,10007.72499034376,0.0007724990343760396,0.0
2024-07-13 00:47:00+00:00,25.9,25.93,25.9,25.91,10850,49,0,10007.72499034376,0.0007724990343760396,0.0
2024-07-13 00:48:00+00:00,25.92,25.92,25.9,25.9,20227,47,2,10007.72499034376,0.0007724990343760396,0.0
2024-07-13 00:49:00+00:00,25.9,25.9,25.86,25.86,128491,278,0,10007.72499034376,0.0007724990343760396,0.0
2024-07-13 00:50:00+00:00,25.86,25.88,25.85,25.87,36317,88,0,10007.72499034376,0.0007724990343760396,0.0
2024-07-13 00:51:00+00:00,25.88,25.89,25.88,25.89,7144,25,0,10007.72499034376,0.0007724990343760396,0.0
2024-07-13 00:52:00+00:00,25.89,25.9,25.89,25.9,3455,10,0,10007.72499034376,0.0007724990343760396,0.0
2024-07-13 00:53:00+00:00,25.89,25.91,25.88,25.91,13275,41,0,10007.72499034376,0.0007724990343760396,0.0
2024-07-13 00:54:00+00:00,25.92,25.94,25.92,25.93,6432,18,0,10007.72499034376,0.0007724990343760396,0.0
