Datetime,Open,High,Low,Close,Volume,Adj Close,Prediction,Portfolio Value,Cumulative Returns,Drawdown
2024-07-13 03:32:00+00:00,69.55,69.55,69.48,69.48,28831,87,0,10000.0,,0.0
2024-07-13 03:33:00+00:00,69.47,69.47,69.41,69.41,38631,111,0,10000.0,0.0,0.0
2024-07-13 03:34:00+00:00,69.42,69.44,69.4,69.43,8281,34,0,10000.0,0.0,0.0
2024-07-13 03:35:00+00:00,69.43,69.43,69.38,69.39,14603,55,0,10000.0,0.0,0.0
2024-07-13 03:36:00+00:00,69.4,69.42,69.39,69.4,2859,24,0,10000.0,0.0,0.0
2024-07-13 03:37:00+00:00,69.41,69.42,69.39,69.42,2796,36,0,10000.0,0.0,0.0
2024-07-13 03:38:00+00:00,69.42,69.43,69.39,69.39,3839,36,0,10000.0,0.0,0.0
2024-07-13 03:39:00+00:00,69.39,69.39,69.36,69.38,3489,38,0,10000.0,0.0,0.0
2024-07-13 03:40:00+00:00,69.39,69.4,69.36,69.36,9586,43,0,10000.0,0.0,0.0
2024-07-13 03:41:00+00:00,69.37,69.44,69.36,69.4,36717,123,0,10000.0,0.0,0.0
2024-07-13 03:42:00+00:00,69.4,69.44,69.4,69.43,1868,30,0,10000.0,0.0,0.0
2024-07-13 03:43:00+00:00,69.42,69.43,69.42,69.43,2279,22,0,10000.0,0.0,0.0
2024-07-13 03:44:00+00:00,69.43,69.48,69.43,69.47,8756,61,0,10000.0,0.0,0.0
2024-07-13 03:45:00+00:00,69.45,69.46,69.43,69.44,1815,22,0,10000.0,0.0,0.0
2024-07-13 03:46:00+00:00,69.43,69.46,69.43,69.45,1971,40,0,10000.0,0.0,0.0
2024-07-13 03:47:00+00:00,69.45,69.48,69.45,69.48,1770,24,0,10000.0,0.0,0.0
2024-07-13 03:48:00+00:00,69.47,69.48,69.47,69.48,1221,14,0,10000.0,0.0,0.0
2024-07-13 03:49:00+00:00,69.47,69.47,69.44,69.44,2247,18,0,10000.0,0.0,0.0
2024-07-13 03:50:00+00:00,69.44,69.44,69.4,69.41,826,23,0,10000.0,0.0,0.0
2024-07-13 03:51:00+00:00,69.42,69.42,69.36,69.37,32839,65,0,10000.0,0.0,0.0
2024-07-13 03:52:00+00:00,69.38,69.38,69.35,69.36,1479,18,0,10000.0,0.0,0.0
2024-07-13 03:53:00+00:00,69.36,69.36,69.34,69.35,1702,20,0,10000.0,0.0,0.0
2024-07-13 03:54:00+00:00,69.35,69.36,69.33,69.34,2834,29,0,10000.0,0.0,0.0
2024-07-13 03:55:00+00:00,69.34,69.37,69.3,69.3,29147,152,0,10000.0,0.0,0.0
2024-07-13 03:56:00+00:00,69.31,69.31,69.3,69.3,5199,33,0,10000.0,0.0,0.0
2024-07-13 03:57:00+00:00,69.3,69.3,69.27,69.28,8900,43,0,10000.0,0.0,0.0
2024-07-13 03:58:00+00:00,69.29,69.31,69.28,69.29,3432,34,0,10000.0,0.0,0.0
2024-07-13 03:59:00+00:00,69.29,69.32,69.28,69.31,17753,37,0,10000.0,0.0,0.0
2024-07-13 04:00:00+00:00,69.31,69.31,69.22,69.23,10407,61,0,10000.0,0.0,0.0
2024-07-13 04:01:00+00:00,69.22,69.22,69.17,69.18,15601,68,5,10002.891008962128,0.00028910089621270174,0.0
2024-07-13 04:02:00+00:00,69.17,69.2,69.17,69.18,6042,30,5,9999.999164206716,-8.357932845814986e-08,-0.0002891008962129601
2024-07-13 04:03:00+00:00,69.18,69.24,69.18,69.24,15365,63,0,9999.999164206716,-8.357932845814986e-08,-0.0002891008962129601
2024-07-13 04:04:00+00:00,69.23,69.23,69.23,69.23,1567,11,0,9999.999164206716,-8.357932845814986e-08,-0.0002891008962129601
2024-07-13 04:05:00+00:00,69.23,69.23,69.17,69.18,16164,39,0,9999.999164206716,-8.357932845814986e-08,-0.0002891008962129601
2024-07-13 04:06:00+00:00,69.18,69.21,69.18,69.21,3176,22,0,9999.999164206716,-8.357932845814986e-08,-0.0002891008962129601
2024-07-13 04:07:00+00:00,69.21,69.21,69.19,69.2,3836,21,0,9999.999164206716,-8.357932845814986e-08,-0.0002891008962129601
2024-07-13 04:08:00+00:00,69.19,69.19,69.16,69.16,3155,27,0,9999.999164206716,-8.357932845814986e-08,-0.0002891008962129601
2024-07-13 04:09:00+00:00,69.17,69.17,69.15,69.15,7716,34,0,9999.999164206716,-8.357932845814986e-08,-0.0002891008962129601
2024-07-13 04:10:00+00:00,69.15,69.16,69.14,69.16,1162,20,0,9999.999164206716,-8.357932845814986e-08,-0.0002891008962129601
2024-07-13 04:11:00+00:00,69.16,69.18,69.14,69.14,1949,32,0,9999.999164206716,-8.357932845814986e-08,-0.0002891008962129601
2024-07-13 04:12:00+00:00,69.15,69.19,69.14,69.16,18255,60,0,9999.999164206716,-8.357932845814986e-08,-0.0002891008962129601
2024-07-13 04:13:00+00:00,69.17,69.17,69.15,69.16,1577,14,0,9999.999164206716,-8.357932845814986e-08,-0.0002891008962129601
2024-07-13 04:14:00+00:00,69.16,69.19,69.15,69.15,2947,22,0,9999.999164206716,-8.357932845814986e-08,-0.0002891008962129601
2024-07-13 04:15:00+00:00,69.15,69.3,69.13,69.29,365814,464,5,10002.88558336221,0.00028855833622065674,-5.424031825991391e-07
2024-07-13 04:16:00+00:00,69.29,69.34,69.29,69.34,7392,31,0,10002.88558336221,0.00028855833622065674,-5.424031825991391e-07
2024-07-13 04:17:00+00:00,69.35,69.35,69.31,69.32,16561,41,2,9999.999580597247,-4.19402756968168e-08,-0.0002890592691943167
2024-07-13 04:18:00+00:00,69.33,69.35,69.32,69.34,8297,25,2,9995.673073712074,-0.00043269262879297443,-0.0007215849141599642
2024-07-13 04:19:00+00:00,69.35,69.35,69.3,69.3,9441,31,2,9998.557827845902,-0.00014421721541024723,-0.0004331928751741656
2024-07-13 04:20:00+00:00,69.3,69.31,69.29,69.3,3577,33,0,9998.557827845902,-0.00014421721541024723,-0.0004331928751741656
2024-07-13 04:21:00+00:00,69.3,69.31,69.29,69.31,1677,15,0,9998.557827845902,-0.00014421721541024723,-0.0004331928751741656
2024-07-13 04:22:00+00:00,69.31,69.34,69.31,69.32,13485,48,0,9998.557827845902,-0.00014421721541024723,-0.0004331928751741656
2024-07-13 04:23:00+00:00,69.31,69.32,69.27,69.29,20586,55,0,9998.557827845902,-0.00014421721541024723,-0.0004331928751741656
2024-07-13 04:24:00+00:00,69.29,69.3,69.26,69.29,20209,59,5,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:25:00+00:00,69.3,69.35,69.29,69.34,8070,43,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:26:00+00:00,69.33,69.36,69.33,69.35,4785,27,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:27:00+00:00,69.35,69.36,69.35,69.35,3570,16,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:28:00+00:00,69.35,69.39,69.35,69.39,7666,29,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:29:00+00:00,69.39,69.39,69.39,69.39,1111,8,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:30:00+00:00,69.39,69.39,69.34,69.39,33508,65,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:31:00+00:00,69.39,69.6,69.39,69.56,110616,330,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:32:00+00:00,69.57,69.6,69.56,69.6,15908,52,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:33:00+00:00,69.6,69.61,69.56,69.56,23400,58,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:34:00+00:00,69.56,69.56,69.5,69.5,6837,28,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:35:00+00:00,69.51,69.54,69.49,69.53,21396,88,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:36:00+00:00,69.53,69.53,69.44,69.45,11856,71,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:37:00+00:00,69.45,69.45,69.43,69.44,530,13,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:38:00+00:00,69.43,69.45,69.43,69.45,1616,16,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:39:00+00:00,69.44,69.49,69.42,69.49,20220,57,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:40:00+00:00,69.5,69.51,69.43,69.44,26330,75,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:41:00+00:00,69.44,69.48,69.44,69.48,961,22,0,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:42:00+00:00,69.47,69.54,69.44,69.54,48457,116,5,10012.987843472753,0.0012987843472747063,0.0
2024-07-13 04:43:00+00:00,69.54,69.56,69.53,69.54,3077,41,5,10007.228287623759,0.0007228287623752827,-0.0005752085130861683
2024-07-13 04:44:00+00:00,69.54,69.54,69.52,69.52,2951,26,0,10007.228287623759,0.0007228287623752827,-0.0005752085130861683
2024-07-13 04:45:00+00:00,69.53,69.58,69.52,69.57,1018,19,0,10007.228287623759,0.0007228287623752827,-0.0005752085130861683
2024-07-13 04:46:00+00:00,69.57,69.58,69.53,69.55,10711,27,2,10000.034018545668,3.4018545662650723e-06,-0.0012937022524729031
2024-07-13 04:47:00+00:00,69.55,69.58,69.55,69.57,2554,13,0,10000.034018545668,3.4018545662650723e-06,-0.0012937022524729031
2024-07-13 04:48:00+00:00,69.57,69.58,69.53,69.54,40850,80,3,10002.910070894975,0.0002910070894970307,-0.0010064700702045242
2024-07-13 04:49:00+00:00,69.54,69.54,69.5,69.5,2046,30,0,10002.910070894975,0.0002910070894970307,-0.0010064700702045242
2024-07-13 04:50:00+00:00,69.51,69.55,69.5,69.55,16856,47,3,9991.404207405809,-0.0008595792594195961,-0.0021555639939195128
2024-07-13 04:51:00+00:00,69.55,69.58,69.55,69.57,5737,36,3,9974.170219984671,-0.002582978001533287,-0.0038767273160513734
2024-07-13 04:52:00+00:00,69.58,69.58,69.56,69.56,6797,35,1,9974.170219984671,-0.002582978001533287,-0.0038767273160513734
2024-07-13 04:53:00+00:00,69.56,69.56,69.52,69.52,7637,36,5,9958.388305079632,-0.004161169492037153,-0.005452871734855109
